Hall,Category,Time,Dish,Calories,Serving Size,Station,FinalStation,Role
Huffman,Breakfast,(7:30am-10:30am),Mango-Kale Smoothie,45,0.75 cup,smoothie,dessert_beverage,beverage
Huffman,Breakfast,(7:30am-10:30am),Nonfat Vanilla Greek Yogurt,170,1 cup,fruit & yogurt bar,byo_breakfast,base
Huffman,Breakfast,(7:30am-10:30am),Nonfat Plain Greek Yogurt,0,0.5 cup,fruit & yogurt bar,byo_breakfast,base
Huffman,Breakfast,(7:30am-10:30am),Nonfat Strawberry Greek Yogurt,180,1 cup,fruit & yogurt bar,byo_breakfast,base
Huffman,Breakfast,(7:30am-10:30am),Cottage Cheese,90,0.5 cup,fruit & yogurt bar,byo_breakfast,extra
Huffman,Breakfast,(7:30am-10:30am),Strawberry Overnight Oats,290,0.5 cup,fruit & yogurt bar,byo_breakfast,topping
Huffman,Breakfast,(7:30am-10:30am),Red & Green Grapes,60,0.5 cup,fruit & yogurt bar,byo_breakfast,topping
Huffman,Breakfast,(7:30am-10:30am),Cantaloupe,30,0.5 cup,fruit & yogurt bar,byo_breakfast,topping
Huffman,Breakfast,(7:30am-10:30am),Fresh Pineapple,60,4 oz,fruit & yogurt bar,byo_breakfast,topping
Huffman,Breakfast,(7:30am-10:30am),Honeydew Melon,35,0.5 cup,fruit & yogurt bar,byo_breakfast,topping
Huffman,Breakfast,(7:30am-10:30am),Mixed Berries,60,0.5 cup,fruit & yogurt bar,byo_breakfast,unknown
Huffman,Breakfast,(7:30am-10:30am),Cinnamon Brown Sugar Granola,370,0.5 cup,fruit & yogurt bar,byo_breakfast,topping
Huffman,Breakfast,(7:30am-10:30am),Pumpkin Seeds,0,2 tbsp,fruit & yogurt bar,byo_breakfast,extra
Huffman,Breakfast,(7:30am-10:30am),Chia Seeds,70,1.5 tbsp,fruit & yogurt bar,byo_breakfast,extra
Huffman,Breakfast,(7:30am-10:30am),Toasted Coconut,80,2 tbsp,fruit & yogurt bar,byo_breakfast,base
Huffman,Breakfast,(7:30am-10:30am),Old Fashioned Oatmeal,110,0.75 cup,grit and oatmeal bar,byo_breakfast,base
Huffman,Breakfast,(7:30am-10:30am),Buttered Grits,130,6 floz,grit and oatmeal bar,byo_breakfast,base
Huffman,Breakfast,(7:30am-10:30am),Brown Sugar,60,1 tbsp,grit and oatmeal bar,byo_breakfast,unknown
Huffman,Breakfast,(7:30am-10:30am),Chia Seeds,70,1.5 tbsp,grit and oatmeal bar,byo_breakfast,extra
Huffman,Breakfast,(7:30am-10:30am),Chocolate Chips,120,2 tbsp,grit and oatmeal bar,byo_breakfast,unknown
Huffman,Breakfast,(7:30am-10:30am),Golden Raisins,130,0.25 cup,grit and oatmeal bar,byo_breakfast,unknown
Huffman,Breakfast,(7:30am-10:30am),Dried Cranberries,70,2 tbsp,grit and oatmeal bar,byo_breakfast,unknown
Huffman,Breakfast,(7:30am-10:30am),Cage-Free Eggs,180,0.5 cup,made to order omelets,byo_breakfast,protein
Huffman,Breakfast,(7:30am-10:30am),Cage Free Egg Whites,100,0.5 cup,made to order omelets,byo_breakfast,protein
Huffman,Breakfast,(7:30am-10:30am),Shelled Egg,80,1 each,made to order omelets,byo_breakfast,protein
Huffman,Breakfast,(7:30am-10:30am),Shredded Monterey Jack Cheese,100,0.25 cup,made to order omelets,byo_breakfast,extra
Huffman,Breakfast,(7:30am-10:30am),Diced Turkey Sausage,90,1 patty,made to order omelets,byo_breakfast,protein
Huffman,Breakfast,(7:30am-10:30am),Sliced Bell Peppers,10,1 oz,made to order omelets,byo_breakfast,veg
Huffman,Breakfast,(7:30am-10:30am),Baby Spinach,15,1 cup,made to order omelets,byo_breakfast,unknown
Huffman,Breakfast,(7:30am-10:30am),Pickled Jalapenos,15,1 oz,made to order omelets,byo_breakfast,extra
Huffman,Breakfast,(7:30am-10:30am),Diced Tomatoes,0,1 floz,made to order omelets,byo_breakfast,veg
Huffman,Breakfast,(7:30am-10:30am),Diced Red Onions,10,2 tbsp,made to order omelets,byo_breakfast,veg
Huffman,Breakfast,(7:30am-10:30am),Sliced Mushrooms,0,0.25 cup,made to order omelets,byo_breakfast,veg
Huffman,Breakfast,(7:30am-10:30am),Diced Deli Ham,35,1 oz,made to order omelets,byo_breakfast,protein
Huffman,Breakfast,(7:30am-10:30am),Egg & Cheese Burrito,450,1 each,breakfast sandwich,grill,entree
Huffman,Breakfast,(7:30am-10:30am),Scrambled Eggs,190,0.5 cup,grill,grill,entree
Huffman,Breakfast,(7:30am-10:30am),Pork Sausage Patty,180,1 each,grill,grill,entree
Huffman,Breakfast,(7:30am-10:30am),Turkey Sausage Link,130,2 link,grill,grill,entree
Huffman,Breakfast,(7:30am-10:30am),Cheesy Hashbrown Casserole,220,3 oz,grill,grill,entree
Huffman,Breakfast,(7:30am-10:30am),French Toast,3690,2 slice,grill,grill,entree
Huffman,Breakfast,(7:30am-10:30am),Sour Cream,70,2 tbsp,grill,grill,entree
Huffman,Breakfast,(7:30am-10:30am),Salsa Roja,10,1 floz,grill,grill,addon
Huffman,Breakfast,(7:30am-10:30am),Salsa Verde,0,2 floz,grill,grill,addon
Huffman,Breakfast,(7:30am-10:30am),Blueberry Muffin,210,1 each,pastries,dessert_beverage,dessert
