Hall,Category,Time,Dish,Calories,Serving Size,Station
Huffman,Breakfast,(7:30am-10:30am),Strawberry Mango Smoothie,120,1 serving,smoothie
Huffman,Breakfast,(7:30am-10:30am),Nonfat Vanilla Greek Yogurt,170,1 cup,fruit & yogurt bar
Huffman,Breakfast,(7:30am-10:30am),Nonfat Plain Greek Yogurt,100,0.75 cup,fruit & yogurt bar
Huffman,Breakfast,(7:30am-10:30am),Nonfat Strawberry Greek Yogurt,180,1 cup,fruit & yogurt bar
Huffman,Breakfast,(7:30am-10:30am),Cottage Cheese,90,0.5 cup,fruit & yogurt bar
Huffman,Breakfast,(7:30am-10:30am),Maple Overnight Oats,270,0.5 cup,fruit & yogurt bar
Huffman,Breakfast,(7:30am-10:30am),Red & Green Grapes,60,0.5 cup,fruit & yogurt bar
Huffman,Breakfast,(7:30am-10:30am),Cantaloupe,30,0.5 cup,fruit & yogurt bar
Huffman,Breakfast,(7:30am-10:30am),Fresh Pineapple,60,4 oz,fruit & yogurt bar
Huffman,Breakfast,(7:30am-10:30am),Honeydew Melon,35,0.5 cup,fruit & yogurt bar
Huffman,Breakfast,(7:30am-10:30am),Mixed Berries,60,0.5 cup,fruit & yogurt bar
Huffman,Breakfast,(7:30am-10:30am),Cinnamon Brown Sugar Granola,370,0.5 cup,fruit & yogurt bar
Huffman,Breakfast,(7:30am-10:30am),Pumpkin Seeds,0,2 tbsp,fruit & yogurt bar
Huffman,Breakfast,(7:30am-10:30am),Chia Seeds,70,1.5 tbsp,fruit & yogurt bar
Huffman,Breakfast,(7:30am-10:30am),Toasted Coconut,80,2 tbsp,fruit & yogurt bar
Huffman,Breakfast,(7:30am-10:30am),Old Fashioned Oatmeal,110,0.75 cup,grit and oatmeal bar
Huffman,Breakfast,(7:30am-10:30am),Cheese Grits,150,0.5 cup,grit and oatmeal bar
Huffman,Breakfast,(7:30am-10:30am),Brown Sugar,60,1 tbsp,grit and oatmeal bar
Huffman,Breakfast,(7:30am-10:30am),Chia Seeds,70,1.5 tbsp,grit and oatmeal bar
Huffman,Breakfast,(7:30am-10:30am),Chocolate Chips,120,2 tbsp,grit and oatmeal bar
Huffman,Breakfast,(7:30am-10:30am),Golden Raisins,130,0.25 cup,grit and oatmeal bar
Huffman,Breakfast,(7:30am-10:30am),Dried Cranberries,70,2 tbsp,grit and oatmeal bar
Huffman,Breakfast,(7:30am-10:30am),Cage-Free Eggs,180,0.5 cup,made to order omelets
Huffman,Breakfast,(7:30am-10:30am),Cage Free Egg Whites,280,0.5 cup,made to order omelets
Huffman,Breakfast,(7:30am-10:30am),Shelled Egg,80,1 each,made to order omelets
Huffman,Breakfast,(7:30am-10:30am),Shredded Monterey Jack Cheese,100,0.25 cup,made to order omelets
Huffman,Breakfast,(7:30am-10:30am),Diced Turkey Sausage,90,1 patty,made to order omelets
Huffman,Breakfast,(7:30am-10:30am),Sliced Bell Peppers,10,1 oz,made to order omelets
Huffman,Breakfast,(7:30am-10:30am),Baby Spinach,15,1 cup,made to order omelets
Huffman,Breakfast,(7:30am-10:30am),Pickled Jalapenos,15,1 oz,made to order omelets
Huffman,Breakfast,(7:30am-10:30am),Diced Tomatoes,0,1 floz,made to order omelets
Huffman,Breakfast,(7:30am-10:30am),Diced Red Onions,10,2 tbsp,made to order omelets
Huffman,Breakfast,(7:30am-10:30am),Sliced Mushrooms,0,0.25 cup,made to order omelets
Huffman,Breakfast,(7:30am-10:30am),Diced Deli Ham,35,1 oz,made to order omelets
Huffman,Breakfast,(7:30am-10:30am),Egg & Cheese Burrito,240,1 each,breakfast sandwich
Huffman,Breakfast,(7:30am-10:30am),Scrambled Eggs,190,0.5 cup,entree
Huffman,Breakfast,(7:30am-10:30am),Pork Sausage Patty,180,1 each,entree
Huffman,Breakfast,(7:30am-10:30am),Turkey Bacon,70,2 slice,entree
