Hall,Category,Time,Dish,Calories,Serving Size,Station,AutoCategory
Huffman,Breakfast,(7:30am-10:30am),Peachy Keen Smoothie,100,5 oz,smoothie,beverage 0.54
Huffman,Breakfast,(7:30am-10:30am),Nonfat Vanilla Greek Yogurt,170,1 cup,Fruit & Yogurt Bar,side 0.51
Huffman,Breakfast,(7:30am-10:30am),Nonfat Plain Greek Yogurt,100,0.75 cup,Fruit & Yogurt Bar,side 0.48
Huffman,Breakfast,(7:30am-10:30am),Nonfat Strawberry Greek Yogurt,180,1 cup,Fruit & Yogurt Bar,side 0.50
Huffman,Breakfast,(7:30am-10:30am),Cottage Cheese,90,0.5 cup,Fruit & Yogurt Bar,topping 0.76
Huffman,Breakfast,(7:30am-10:30am),Cinnamon Brown Sugar Granola,350,0.5 cup,Fruit & Yogurt Bar,other 0.51
Huffman,Breakfast,(7:30am-10:30am),Pumpkin Seeds,0,2 tbsp,Fruit & Yogurt Bar,produce 0.60
Huffman,Breakfast,(7:30am-10:30am),Chia Seeds,70,1.5 tbsp,Fruit & Yogurt Bar,produce 0.61
Huffman,Breakfast,(7:30am-10:30am),Red & Green Grapes,60,0.5 cup,Fruit & Yogurt Bar,produce 0.50
Huffman,Breakfast,(7:30am-10:30am),Cantaloupe,30,0.5 cup,Fruit & Yogurt Bar,produce 0.70
Huffman,Breakfast,(7:30am-10:30am),Pineapple Chunks,60,4 oz,Fruit & Yogurt Bar,produce 0.57
Huffman,Breakfast,(7:30am-10:30am),Honeydew Melon,35,0.5 cup,Fruit & Yogurt Bar,other 0.58
Huffman,Breakfast,(7:30am-10:30am),Old Fashioned Oatmeal,110,0.75 cup,grit and oatmeal bar,beverage 0.61
Huffman,Breakfast,(7:30am-10:30am),Brown Sugar,60,1 tbsp,grit and oatmeal bar,other 0.59
Huffman,Breakfast,(7:30am-10:30am),Chia Seeds,70,1.5 tbsp,grit and oatmeal bar,produce 0.61
Huffman,Breakfast,(7:30am-10:30am),Chocolate Chips,120,2 tbsp,grit and oatmeal bar,dessert 0.68
Huffman,Breakfast,(7:30am-10:30am),Golden Raisins,130,0.25 cup,grit and oatmeal bar,other 0.56
Huffman,Breakfast,(7:30am-10:30am),Dried Cranberries,70,2 tbsp,grit and oatmeal bar,other 0.54
Huffman,Breakfast,(7:30am-10:30am),Cheese Grits,150,0.5 cup,grit and oatmeal bar,topping 0.62
Huffman,Breakfast,(7:30am-10:30am),Cage-Free Eggs,180,0.5 cup,made to order omelets,other 0.34
Huffman,Breakfast,(7:30am-10:30am),Cage Free Egg Whites,280,0.5 cup,made to order omelets,other 0.40
Huffman,Breakfast,(7:30am-10:30am),Shelled Egg,80,1 each,made to order omelets,other 0.48
Huffman,Breakfast,(7:30am-10:30am),Shredded Monterey Jack Cheese,100,0.25 cup,made to order omelets,topping 0.63
Huffman,Breakfast,(7:30am-10:30am),Canadian Bacon,50,2 slice,made to order omelets,main-protein 0.59
Huffman,Breakfast,(7:30am-10:30am),Diced Turkey Sausage,70,1 patty,made to order omelets,main-protein 0.58
Huffman,Breakfast,(7:30am-10:30am),Sauteed Spinach,80,0.5 cup,made to order omelets,produce 0.59
Huffman,Breakfast,(7:30am-10:30am),Roasted Tomatoes,180,0.5 cup,made to order omelets,side 0.75
Huffman,Breakfast,(7:30am-10:30am),Fire Roasted Jalapenos,25,1 oz,made to order omelets,other 0.53
Huffman,Breakfast,(7:30am-10:30am),Roasted Mushrooms,110,0.5 cup,made to order omelets,side 0.73
Huffman,Breakfast,(7:30am-10:30am),Peachy Keen Smoothie,100,5 oz,Entree,beverage 0.54
Huffman,Breakfast,(7:30am-10:30am),Bodega Breakfast Sandwich,530,,Entree,main-combo 0.61
Huffman,Breakfast,(7:30am-10:30am),Scrambled Eggs,190,0.5 cup,Entree,main-combo 0.60
Huffman,Breakfast,(7:30am-10:30am),Turkey Sausage Link,130,2 link,Entree,main-protein 0.44
Huffman,Breakfast,(7:30am-10:30am),Pork Sausage Patty,0,1 each,Entree,main-combo 0.66
Huffman,Breakfast,(7:30am-10:30am),Hash Brown Patty,60,1 each,Entree,side 0.63
Huffman,Breakfast,(7:30am-10:30am),Sausage Gravy,380,6 floz,Entree,main-combo 0.60
Huffman,Breakfast,(7:30am-10:30am),Buttermilk Biscuit,280,,Entree,main-carb 0.64
Huffman,Breakfast,(7:30am-10:30am),Sour Cream,70,2 tbsp,Entree,topping 0.74
Huffman,Breakfast,(7:30am-10:30am),Salsa Roja,10,1 floz,Entree,topping 0.59
Huffman,Breakfast,(7:30am-10:30am),Salsa Verde,0,2 floz,Entree,topping 0.71
Huffman,Breakfast,(7:30am-10:30am),Blueberry Muffin,200,1 each,pastries,dessert 0.60
Huffman,Breakfast,(7:30am-10:30am),Cappuccino Chocolate Chunk Muffin,210,1 each,pastries,dessert 0.60
Huffman,Breakfast,(7:30am-10:30am),Powdered Sugar Donut Hole,90,1 each,pastries,dessert 0.43
Huffman,Breakfast,(7:30am-10:30am),Plain Bagel,0,,toasted,main-carb 0.76
Huffman,Breakfast,(7:30am-10:30am),Everything Bagel,310,1 each,toasted,main-carb 0.65
Huffman,Breakfast,(7:30am-10:30am),Cinnamon Raisin Bagel,230,,toasted,main-carb 0.71
Huffman,Breakfast,(7:30am-10:30am),Whole Wheat Bread,80,,toasted,main-carb 0.67
Huffman,Breakfast,(7:30am-10:30am),White Bread,150,1 slice,toasted,main-carb 0.71
