Dish,CorrectCategory
Nonfat Plain Greek Yogurt,side
Nonfat Vanilla Greek Yogurt,side
Nonfat Strawberry Greek Yogurt,side
Romaine Lettuce,other
Baby Spinach,other
Chilled Quinoa,other
Grape Tomatoes,other
Sliced Cucumber,other
Shredded Carrots,other
Sliced Red Onions,other
Sliced Bell Peppers,other
Sliced Black Olives,other
Roasted Edamame,other
Pickled Beets,other
Fresh Broccoli Florets,other
Roasted Brussels Sprouts,other
Crispy Chickpeas,other
Diced Chicken,main
Roasted Tofu,main
Hard-Boiled Eggs,main
Shredded Cheddar Cheese,other
House Made Honey Mustard,other
Herb Ranch Dressing,other
Raspberry Vinaigrette,other
Italian Dressing,other
Citrus Balsamic Vinaigrette,other
Cottage Cheese,other
Cinnamon Brown Sugar Granola,other
Pumpkin Seeds,other
Chia Seeds,other
Red & Green Grapes,other
Cantaloupe,other
Pineapple Chunks,other
Honeydew Melon,other
Papas Rancheras,other
Roasted Italian Vegetables,side
Roast Beef,main
Steamed Green Beans,side
Pepperoni Pizza,other
Cheese Pizza,other
Sausage Pizza,main
Cream of Tomato Soup,other
Sloppy Joe Filling,other
Potato Roll,side
Cheddar Cheese,other
American Cheese,other
Leaf Lettuce,other
Sliced Yellow Onion,other
Sliced Tomatoes,other
Dill Pickle Slices,other
Black Bean Burger,main
Pork Dumplings,other
Sweet Thai Chili Sauce,other
Albuquerque Roast Chicken,main
Scalloped Potatoes,side
Seasoned Steamed Carrots & Cauliflower,beverage
Assorted Breads,side
White Rice,side
Togarashi,other
Tuxedo Sesame Seeds,other
MTO Furikake Seasoning,other
Nori Sheets,other
Chow Mein Noodles,other
Fresh Scallions,other
Pickled Red Onion,other
Sambal Oelek Chili Sauce,other
Sweet Soy Marinade,other
Tamari Soy Sauce,other
Chili Oil,other
Rice Vinegar & Soy Sauce Oil,side
Craveworthy® Sugar Cookie,dessert
Black Forest Brownie,dessert
Red Velvet Swirl Brownie,dessert
Plain Bagel,other
Everything Bagel,other
Cinnamon Raisin Bagel,other
Whole Wheat Bread,side
White Bread,side
English Muffin,dessert
Made Without Gluten Bread,side
Made without Gluten Bagel,other
Cream Cheese,other
Sun Butter,other
Peanut Butter,other
Grape Jelly,other
Strawberry Jelly,other
Butter,other
Belgian Waffle,other
Maple Syrup,other
Chocolate Chips,other
Mini Marshmallow,other
Hershey's Chocolate Syrup,other
2% Milk,beverage
Chocolate Milk,beverage
Uproot Chocolate Peamilk,beverage
Uproot Oatmilk,beverage
Uproot Soymilk,beverage
Rice Chex Cereal,side
Fruit Loops Cereal,other
Raisin Bran Cereal,other
Apple Jacks Cereal,other
Rice Krispies,side
Cocoa Puffs,other
Cinnamon Toast Crunch Cereal,other
Frosted Flakes,other
Banana Cream Pie Ice Cream,dessert
Birthday Cake Ice Cream,dessert
Campfire S'mores Ice Cream,dessert
Chocolate Ice Cream,dessert
Coffee Ice Cream,dessert
Cookies & Cream Ice Cream,dessert
Cotton Candy Ice,other
Mint Chocolate Chip Ice Cream,dessert
Orange Pineapple Ice Cream,dessert
Pumpkin Pie Ice Cream,dessert
Rainbow Sherbet,other
Raspberry Fudge Cordial Ice Cream,dessert
Strawberry Ice Cream,dessert
Strawberry Cheesecake Ice Cream,dessert
