Dish,Category
Cage-Free Eggs,Breakfast (7:30am-10:30am)
Cage Free Egg Whites,Breakfast (7:30am-10:30am)
Deli Ham,Breakfast (7:30am-10:30am)
Diced Turkey Sausage,Breakfast (7:30am-10:30am)
Shredded Cheddar Cheese,Breakfast (7:30am-10:30am)
Baby Spinach,Breakfast (7:30am-10:30am)
Diced Yellow Onion,Breakfast (7:30am-10:30am)
Diced Mixed Bell Peppers,Breakfast (7:30am-10:30am)
Diced Tomatoes,Breakfast (7:30am-10:30am)
Jalapeno Peppers,Breakfast (7:30am-10:30am)
Mushrooms,Breakfast (7:30am-10:30am)
Whole Milk Greek Yogurt,Breakfast (7:30am-10:30am)
Nonfat Vanilla Greek Yogurt,Breakfast (7:30am-10:30am)
Cantaloupe,Breakfast (7:30am-10:30am)
Honeydew Melon,Breakfast (7:30am-10:30am)
Chia Seeds,Breakfast (7:30am-10:30am)
Mini Chocolate Chips,Breakfast (7:30am-10:30am)
Toasted Pumpkin Seeds,Breakfast (7:30am-10:30am)
Sunflower Seeds,Breakfast (7:30am-10:30am)
Old Fashioned Oatmeal,Breakfast (7:30am-10:30am)
Cheese Grits,Breakfast (7:30am-10:30am)
Brown Sugar,Breakfast (7:30am-10:30am)
Chia Seeds,Breakfast (7:30am-10:30am)
Dried Cranberries,Breakfast (7:30am-10:30am)
Golden Raisins,Breakfast (7:30am-10:30am)
Scrambled Eggs,Breakfast (7:30am-10:30am)
Applewood Bacon,Breakfast (7:30am-10:30am)
Turkey Bacon,Breakfast (7:30am-10:30am)
Hash Brown Patty,Breakfast (7:30am-10:30am)
Hoecakes,Breakfast (7:30am-10:30am)
Raisin Bran Muffin,Breakfast (7:30am-10:30am)
Double Chocolate Chip Muffin,Breakfast (7:30am-10:30am)
Orange Cranberry Muffin,Breakfast (7:30am-10:30am)
Belgian Waffle,Breakfast (7:30am-10:30am)
Maple Syrup,Breakfast (7:30am-10:30am)
Mini Chocolate Chips,Breakfast (7:30am-10:30am)
White Chocolate Chips,Breakfast (7:30am-10:30am)
Oreo Cookie Crumbs,Breakfast (7:30am-10:30am)
Rainbow Sprinkles,Breakfast (7:30am-10:30am)
White Bread,Breakfast (7:30am-10:30am)
Whole Wheat Bread,Breakfast (7:30am-10:30am)
Plain Bagel,Breakfast (7:30am-10:30am)
Everything Bagel,Breakfast (7:30am-10:30am)
Cinnamon Raisin Bagel,Breakfast (7:30am-10:30am)
Blueberry Bagel,Breakfast (7:30am-10:30am)
Whipped Cream Cheese,Breakfast (7:30am-10:30am)
Whipped Butter,Breakfast (7:30am-10:30am)
Strawberry Preserves,Breakfast (7:30am-10:30am)
Orange Marmalade,Breakfast (7:30am-10:30am)
Sun Butter,Breakfast (7:30am-10:30am)
Grape Jelly,Breakfast (7:30am-10:30am)
Strawberry Banana Smoothie,Breakfast (7:30am-10:30am)
Baked Pasta with Italian Sausage,Lunch (11:30am-2pm)
Three Cheese Pasta Bake,Lunch (11:30am-2pm)
Roasted Broccoli,Lunch (11:30am-2pm)
Garlic Bread,Lunch (11:30am-2pm)
Field Greens,Lunch (11:30am-2pm)
Baby Spinach,Lunch (11:30am-2pm)
Grape Tomatoes,Lunch (11:30am-2pm)
Shredded Carrots,Lunch (11:30am-2pm)
Broccoli Florets,Lunch (11:30am-2pm)
Sliced Red Onions,Lunch (11:30am-2pm)
Diced Grilled Chicken,Lunch (11:30am-2pm)
Hard-Boiled Eggs,Lunch (11:30am-2pm)
Feta Cheese,Lunch (11:30am-2pm)
Honey Mustard Dressing,Lunch (11:30am-2pm)
Broccoli Raisin Salad,Lunch (11:30am-2pm)
Cheese Pizza,Lunch (11:30am-2pm)
Chef's Special,Lunch (11:30am-2pm)
Chicken and Shrimp Jambalaya,Lunch (11:30am-2pm)
Fried Okra,Lunch (11:30am-2pm)
Braised Collard Greens,Lunch (11:30am-2pm)
Cornbread,Lunch (11:30am-2pm)
Cajun Tofu,Lunch (11:30am-2pm)
Beef Burger Patty,Lunch (11:30am-2pm)
Beyond Burger Patty,Lunch (11:30am-2pm)
Grilled Seasoned Chicken Breast,Lunch (11:30am-2pm)
Crispy French Fries,Lunch (11:30am-2pm)
Sweet Potato Fries,Lunch (11:30am-2pm)
Potato Roll,Lunch (11:30am-2pm)
