Hall,Category,Time,Dish,Calories,Serving Size,AutoCategory,FinalCategory
Huffman,Breakfast,(7:30am-10:30am),Strawberry Mango Smoothie,100,1 serving,beverage,beverage
Huffman,Breakfast,(7:30am-10:30am),Nonfat Vanilla Greek Yogurt,90,0.5 cup,other,side
Huffman,Breakfast,(7:30am-10:30am),Nonfat Plain Greek Yogurt,100,0.75 cup,other,side
Huffman,Breakfast,(7:30am-10:30am),Nonfat Strawberry Greek Yogurt,180,1 cup,other,side
Huffman,Breakfast,(7:30am-10:30am),Cottage Cheese,90,0.5 cup,other,side
Huffman,Breakfast,(7:30am-10:30am),Cinnamon Brown Sugar Granola,370,0.5 cup,other,other
Huffman,Breakfast,(7:30am-10:30am),Pumpkin Seeds,160,2 tbsp,other,other
Huffman,Breakfast,(7:30am-10:30am),Chia Seeds,70,1.5 tbsp,other,other
Huffman,Breakfast,(7:30am-10:30am),Red & Green Grapes,60,0.5 cup,other,side
Huffman,Breakfast,(7:30am-10:30am),Cantaloupe,30,0.5 cup,other,side
Huffman,Breakfast,(7:30am-10:30am),Pineapple Chunks,70,4 oz,other,side
Huffman,Breakfast,(7:30am-10:30am),Honeydew Melon,35,0.5 cup,other,side
Huffman,Breakfast,(7:30am-10:30am),Old Fashioned Oatmeal,110,0.75 cup,other,side
Huffman,Breakfast,(7:30am-10:30am),Cream of Wheat,60,1 serving,other,other
Huffman,Breakfast,(7:30am-10:30am),Brown Sugar,60,1 tbsp,other,other
Huffman,Breakfast,(7:30am-10:30am),Chia Seeds,70,1.5 tbsp,other,other
Huffman,Breakfast,(7:30am-10:30am),Chocolate Chips,100,2 tbsp,other,other
Huffman,Breakfast,(7:30am-10:30am),Golden Raisins,130,0.25 cup,other,other
Huffman,Breakfast,(7:30am-10:30am),Dried Cranberries,70,2 tbsp,other,other
Huffman,Breakfast,(7:30am-10:30am),Cage-Free Eggs,180,0.5 cup,main,main
Huffman,Breakfast,(7:30am-10:30am),Cage Free Egg Whites,280,0.5 cup,main,main
Huffman,Breakfast,(7:30am-10:30am),Shelled Egg,80,1 each,main,main
Huffman,Breakfast,(7:30am-10:30am),Shredded Monterey Jack Cheese,100,0.25 cup,other,side
Huffman,Breakfast,(7:30am-10:30am),Canadian Bacon,50,2 slice,main,main
Huffman,Breakfast,(7:30am-10:30am),Diced Turkey Sausage,90,1 patty,main,main
